Particles,Threads,AvgTime,TotalTime
1000,4,0.001431,0.014314
2000,4,0.004331,0.043305
3000,4,0.009156,0.091556
4000,4,0.015875,0.158748
5000,4,0.024493,0.244932
6000,4,0.034977,0.349772
7000,4,0.047360,0.473602
8000,4,0.061736,0.617358
9000,4,0.077883,0.778832
10000,4,0.096102,0.961023
20000,4,0.383076,3.830757
30000,4,0.875136,8.751363
40000,4,1.535365,15.353649
50000,4,2.392728,23.927275
60000,4,3.443885,34.438854
70000,4,4.687260,46.872603
80000,4,6.120752,61.207520
90000,4,7.746000,77.459996
100000,4,9.564124,95.641242
1000,8,0.001373,0.013731
2000,8,0.002832,0.028323
3000,8,0.005251,0.052507
4000,8,0.008739,0.087393
5000,8,0.013028,0.130284
6000,8,0.019830,0.198296
7000,8,0.026619,0.266185
8000,8,0.035261,0.352608
9000,8,0.046893,0.468933
10000,8,0.048864,0.488639
20000,8,0.196348,1.963478
30000,8,0.444733,4.447335
40000,8,0.773778,7.737780
50000,8,1.206260,12.062598
60000,8,1.723099,17.230993
70000,8,2.346855,23.468549
80000,8,3.063759,30.637589
90000,8,3.872651,38.726509
100000,8,4.783994,47.839939
1000,16,0.002013,0.020126
2000,16,0.002809,0.028090
3000,16,0.004729,0.047293
4000,16,0.007507,0.075067
5000,16,0.010435,0.104347
6000,16,0.012678,0.126785
7000,16,0.015715,0.157151
8000,16,0.023435,0.234351
9000,16,0.024934,0.249343
10000,16,0.032302,0.323020
20000,16,0.127652,1.276516
30000,16,0.257372,2.573719
40000,16,0.418688,4.186884
50000,16,0.627653,6.276530
60000,16,0.897591,8.975913
70000,16,1.190599,11.905989
80000,16,1.560228,15.602283
90000,16,1.966767,19.667665
100000,16,2.415720,24.157205
1000,32,0.003235,0.032349
2000,32,0.004205,0.042047
3000,32,0.005451,0.054509
4000,32,0.006819,0.068186
5000,32,0.008892,0.088923
6000,32,0.011661,0.116611
7000,32,0.015664,0.156635
8000,32,0.018719,0.187193
9000,32,0.022712,0.227120
10000,32,0.027107,0.271070
20000,32,0.097960,0.979602
30000,32,0.211978,2.119778
40000,32,0.376571,3.765714
50000,32,0.581617,5.816165
60000,32,0.833052,8.330516
70000,32,1.135534,11.355342
80000,32,1.481251,14.812514
90000,32,1.874958,18.749579
100000,32,2.310881,23.108812
